Object Number,Department,Object Begin Date
1979.486.1,American Decorative Arts,1853
1980.264.5,American Decorative Arts,1901
67.265.9,American Decorative Arts,1909
67.265.10,American Decorative Arts,1909
67.265.11,American Decorative Arts,1909
67.265.12,American Decorative Arts,1909
67.265.13,American Decorative Arts,1909
67.265.14,American Decorative Arts,1909
67.265.15,American Decorative Arts,1909
1979.486.3,American Decorative Arts,1912
1979.486.2,American Decorative Arts,1907
1979.486.7,American Decorative Arts,1876
1979.486.4,American Decorative Arts,1910
1979.486.5,American Decorative Arts,1907
16.74.49,American Paintings and Sculpture,1665
16.74.27,American Paintings and Sculpture,1800
16.74.28,American Paintings and Sculpture,1867
16.74.29,American Paintings and Sculpture,1860
16.74.30,American Paintings and Sculpture,1859
16.74.31,American Paintings and Sculpture,1860
16.74.32,American Paintings and Sculpture,1859
16.74.43,American Paintings and Sculpture,1881
16.74.44,American Paintings and Sculpture,1878
16.74.33,American Paintings and Sculpture,1860
16.74.34,American Paintings and Sculpture,1860
16.74.35,American Paintings and Sculpture,1860
16.74.36,American Paintings and Sculpture,1860
16.74.38,American Paintings and Sculpture,1860
16.74.39,American Paintings and Sculpture,1860
16.74.37,American Paintings and Sculpture,1885
16.74.40,American Paintings and Sculpture,1885
09.9.15,American Paintings and Sculpture,1866
64.62,American Decorative Arts,1876
1970.289.6,American Decorative Arts,1847
04.1a–c,American Decorative Arts,1893
1976.319,American Decorative Arts,1884
38.165.51,American Decorative Arts,1782
38.165.50,American Decorative Arts,1782
18.11.10,American Decorative Arts,1770
46.140.143,American Decorative Arts,1830
46.140.864,American Decorative Arts,1850
60.58.1,American Decorative Arts,1795
60.58.2,American Decorative Arts,1795
10.125.444a,American Decorative Arts,1787
10.125.444b,American Decorative Arts,1787
10.125.445a,American Decorative Arts,1700
10.125.445b,American Decorative Arts,1700
10.125.446a,American Decorative Arts,1770
10.125.446b,American Decorative Arts,1770
10.125.447a,American Decorative Arts,1770
10.125.447b,American Decorative Arts,1770
10.125.452a,American Decorative Arts,1700
10.125.452b,American Decorative Arts,1700
10.125.454a,American Decorative Arts,1800
10.125.454b,American Decorative Arts,1800
10.125.499a,American Decorative Arts,1800
10.125.499b,American Decorative Arts,1800
22.120.1,American Decorative Arts,1797
22.120.2,American Decorative Arts,1797
